linha_produto,principio_ativo,n_skus,marcas,decision,cod_item,desc_global,confidence,reasoning,n_candidates,candidate_cod_items,model,cached,error,custo_medio,custo_min,custo_max,vl_medio_global,prev_mes_rs,abc_global,run_pass
PROPIONATO DE FLUTICASONA (50MCG SOLUCAO COM PROPELENTE AEROSOL 120 DOSES COM APLICADOR),PROPIONATO DE FLUTICASONA,2,['GSK'],no_match,,,0.95,"Unimed: propionato de fluticasona 50 mcg/dose suspensão aerosol inhalador (120 doses). Nenhum candidato Global corresponde a fluticasona propionato 50 mcg inhalador: itens com fluticasona furoato (27,5 mcg) são nasal e com dose diferente; beclometasona (50 ou 200 mcg) é substância diferente; demais candidatos são combinações ou produtos distintos. Portanto sem equivalente clínico nos candidatos listados.",25,"[86959, 86818, 101457, 100391, 92938, 87260, 107026, 105079, 100370, 87191, 86504, 87904, 87248, 88056, 92937, 115258, 84891, 86725, 87173, 87219, 87900, 86505, 107341, 110202, 86614]",openai:gpt-5-mini,False,,115.6824635,109.742,121.622927,,,,initial
"FITA MICROPOROSA 2,5X10 BRANCA",PRODUTOS PARA SAUDE,2,"['CIEX', 'MISSNER']",match,87521.0,fita microporosa hipoalergênica 25mm x 10m,1.0,"Princípio: produto para saúde (fita microporosa); Dose/tamanho: 2,5 cm x 10 m (Unimed 2,5x10 = 25mm x 10m) — corresponde exatamente ao candidato; Forma: fita microporosa/hipoalergênica (mesma forma clínica); Via: uso tópico/adesivo (compatível); Volume/embalagem: 25mm x 10m igual.",25,"[115190, 87522, 102367, 102359, 87521, 84326, 84680, 108160, 110407, 84899, 111591, 88058, 83909, 92745, 88098, 87001, 92866, 83669, 87000, 84330, 84284, 93356, 93355, 83803, 87936]",openai:gpt-5-mini,False,,1.95,1.65,2.25,2.07,479.6189999999999,C,initial
FENOFIBRATOS MICROGRÂ¿NULOS A 75% (250MG CAPSULA GELATINOSA DURA COM MICROGRANULOS LIBERACAO RETARDADA),FENOFIBRATO,1,['COSMED'],no_match,,,0.95,"Princípio ativo Unimed: fenofibrato 250 mg em cápsula gelatinosa dura com microgrânulos de liberação retardada. Nenhum dos candidatos lista fenofibrato ou equivalente clínico (todos são princípios ativos diferentes: duloxetina, omeprazol, levodopa, etc.). Dose, forma e princípio ativo não correspondem a nenhum cod_item fornecido.",25,"[86959, 86736, 108004, 86854, 86741, 100504, 112284, 116611, 116624, 116642, 117320, 87061, 87924, 100370, 86908, 107750, 87090, 87030, 86816, 86441, 87062, 86492, 88165, 86341, 86725]",openai:gpt-5-mini,False,,0.832,0.832,0.832,,,,initial
"FITA MICROPOROSA 2,5X10 BEGE",PRODUTOS PARA SAUDE,1,['CIEX'],match,87521.0,fita microporosa hipoalergênica 25mm x 10m,0.95,"Mesma apresentação clínica: fita microporosa (mesma forma farmacêutica/insumo), largura 25 mm = 2,5 cm e comprimento 10 m (2,5x10), cor/bege não é determinante; marcas/embalagem/esterilidade não especificadas — corresponde ao item 87521.",25,"[115190, 87522, 102367, 102359, 87521, 87001, 87000, 88172, 87936, 88098, 86323, 88115, 88058, 86928, 103138, 92783, 83898, 100584, 100583, 100582, 87714, 107191, 111319, 105841, 83882]",openai:gpt-5-mini,False,,2.1,2.1,2.1,2.07,479.6189999999999,C,initial
CLORIDRATO DE BUPROPIONA SOLIDO (150MG COMPRIMIDO REVESTIDO DE LIBERAÂ¿Â¿O PROLONGADA) ,CLORIDRATO DE BUPROPIONA,1,['EMS'],match,86548.0,bupropiona 150 mg com rev lib lent,1.0,"Mesmo princípio ativo (cloridrato de bupropiona), mesma dose (150 mg), mesma forma farmacêutica (comprimido revestido) e mesma liberação (liberação prolongada / lib lenta), via oral. Marca ignorada; apresentação clínica compatível.",25,"[86959, 102396, 100370, 86651, 86548, 86725, 104604, 86909, 117320, 86865, 116358, 86633, 87127, 86463, 100269, 111420, 86724, 86705, 86648, 86908, 95507, 87087, 86704, 86570, 86736]",openai:gpt-5-mini,False,,0.31,0.31,0.31,0.85,35.36,C,initial
GLICOSE (5% SOLUCAO INJETAVEL IV 250ML),GLICOSE,1,['FRESENIUS'],match,87313.0,glicose 5% 250 ml fr sistema fechado,1.0,Princípio: GLICOSE; Dose/concentração: 5% = igual; Forma: solução injetável; Via: IV; Volume: 250 mL (fr sistema fechado) compatível com 250 mL. Marcas ignoradas.,25,"[115190, 86720, 83677, 86595, 86544, 87040, 83665, 86537, 86727, 86734, 87206, 86979, 86732, 87201, 86931, 86670, 83688, 87249, 87313, 87024, 86994, 87141, 83672, 116877, 87247]",openai:gpt-5-mini,False,,3.8,3.8,3.8,4.7,2292.6600000000003,C,initial
IODOPOVIDONA SOLUCAO AQUOSA 1 LITRO ,IODOPOVIDONA,1,['VIC PHARMA'],no_match,,,1.0,"Princípio ativo diferente: Unimed = iodopovidona (solução aquosa 1 L). Nenhum candidato lista iodopovidona ou produto equivalente; candidatos relevantes (clorexidina 0,2% 100 ml; Prontosan 350 ml) têm princípios ativos distintos e volumes/formas diferentes. Portanto não há match clínico.",25,"[87109, 84210, 87190, 86619, 86620, 86728, 87512, 87513, 87514, 92785, 87193, 83688, 83666, 87519, 92955, 83652, 86582, 83835, 92932, 92786, 111334, 87807, 87848, 86815, 92788]",openai:gpt-5-mini,False,,36.03,36.03,36.03,,,,initial
BENZILPENICILINA PROCAINA+BENZILPENICILINA POTASSICA ( 400.000UI INJ IM),BENZILPENICILINA PROCAINA+BENZILPENICILINA POTASSICA,1,['BLAU'],no_match,,,0.9,Unimed: benzilpenicilina procaína + benzilpenicilina potássica 400.000 UI inj IM (PENKARON). Nenhum candidato Global corresponde: cod_item=86509 é benzilpenicilina potássica 5.000.000 UI (dose muito maior) e cod_item=86508 é benzilpenicilina benzatina 1.200.000 UI suspensão IM (sal e dose diferentes). Não há item representando 400.000 UI procaína/potássica IM — dose/sal/formulação incompatíveis.,25,"[115190, 86509, 86508, 86975, 87225, 86445, 86753, 86877, 86973, 86444, 86751, 87293, 86838, 86443, 86754, 86755, 83696, 86752, 83682, 83679, 87261, 86318, 86845, 87244, 83646]",openai:gpt-5-mini,False,,3.7,3.7,3.7,,,,initial
FOSFATO DISSODICO DE BETAMETASONA+ACETATO DE BETAM INJETAVEL (SOL/SUSP/PO),FOSFATO DISSODICO DE BETAMETASONA+ACETATO DE BETAMETASONA,1,['HYPERA'],match,86517.0,"betametasona, fosfato dissodico + betametasona, acetato 3 mg/ml + 3 mg/ml sus inj amp 1 ml",1.0,"Princípio idêntico (betametasona fosfato dissódico + betametasona acetato), mesma concentração 3 mg/ml + 3 mg/ml, mesma forma farmacêutica (suspensão/solução injetável), mesma via IM e volume ampola 1 ml — corresponde exatamente ao CELESTONE SOLUSPAN descrito; marcas ignoradas.",25,"[115190, 86517, 86518, 86695, 83665, 86516, 86824, 92909, 86505, 86504, 86503, 87089, 86827, 87219, 83674, 83673, 86704, 87890, 87889, 87888, 87886, 87887, 86850, 86705, 110606]",openai:gpt-5-mini,False,,5.599998,5.599998,5.599998,7.71,209.712,C,initial
"AGULHA DESC 13X3,0",PRODUTOS PARA SAUDE,1,['SR'],match,106811.0,"agulha hipodérmica descartável 13x0,30 (30g/1,5)",0.6,"Princípio: produto para saúde; forma: agulha hipodérmica descartável; dimensão/medida: Unimed indica '13x3,0' — candidato tem '13x0,30 (30G/1,5)'. Não há outros itens com 13x...; considere possível diferença de notação/decimal. Via e uso compatíveis.",25,"[86604, 87766, 87449, 87448, 87447, 88097, 87956, 87930, 88016, 101386, 87445, 111221, 106811, 87750, 83885, 87547, 87835, 87900, 87549, 87546, 87550, 88128, 100845, 87545, 107398]",openai:gpt-5-mini,False,,0.11,0.11,0.11,0.04,0.992,C,initial
